Index,X,Y,Inputs,and,Outputs,,,
103,5.0038,2.5146,I(A75;96),I(S77;84),O(S78;114),,,
104,5.1562,2.5146,I(S79;115),O(A74;91),O(S76;85),,,
105,0.4318,2.3622,I(S54;72),I(A48;80),O(S85;116),,,
106,0.5842,2.3622,I(S55;73),I(A49;86),O(S68;117),,,
107,0.7366,2.3622,I(S87;118),O(A52;92),O(S56;74),,,
108,0.889,2.3622,I(S88;119),O(A53;97),O(S57;75),,,
109,2.3368,2.0574,I(A78;98),O(S84;126),,,,
110,2.8194,2.3622,I(A58;99),I(S65;76),I(A69;82),O(S80;127),,
111,2.9718,2.3622,I(A59;93),I(S64;77),I(A68;88),O(S81;128),,
112,3.1242,2.3622,I(S82;129),O(A60;87),O(S66;78),O(A67;94),,
113,3.2766,2.3622,I(S83;130),O(A61;81),O(S67;79),O(A66;100),,
114,5.0038,2.2098,I(S78;103),O(A102;133),,,,
115,5.1562,2.2098,I(A103;134),O(S79;104),,,,
116,0.4318,1.7272,I(S85;105),O(A79;120),,,,
117,0.5842,1.7272,I(S86;106),O(A80;121),,,,
118,0.7366,1.7272,I(A85;122),I(A122;148),O(S87;107),,,
119,0.889,1.7272,I(A86;123),O(S88;108),,,,
120,0.29257122,1.23216434,I(A79;116),I(A121;148),O(A81;144),,,
121,0.42548158,1.15733266,I(A80;117),I(A83;122),O(A82;141),,,
122,0.99474375,1.33383809,I(A88;124),O(A83;121),,,,
123,1.06678192,1.46857086,I(A87;125),O(A86;119),O(A120;148),,,
124,1.25357662,1.03584055,I(A90;141),,I(A92;138),O(A88;122),,
125,1.39359333,1.10691002,I(A89;144),,I(A91;135),O(A87;123),,
126,2.3368,1.21997364,I(S84;109),O(A93;135),,,,
127,2.8194,1.2192,I(S80;110),O(A94;136),,,,
128,2.9718,1.2192,I(S81;111),O(A95;139),O(A119;136),,,
129,3.1242,1.2192,I(A96;140),I(A118;137),O(S82;112),,,
130,3.2766,1.2192,I(A97;137),O(S83;113),,,,
131,4.47560064,1.24785799,I(A100;133),,O(A99;149),O(A108;146),,
132,4.6265494,1.23724941,I(A104;143),,O(A98;150),O(A109;143),,
133,4.72377757,1.66308954,I(A102;114),I(A101;134),O(A100;131),,,
134,5.43622243,1.66308954,I(A105;146),,O(A101;133),O(A103;115),,
135,1.92647984,0.76321956,I(A93;126),I(S89;136),,O(A91;125),,
136,2.41115835,0.76462886,I(A94;127),I(A119;128),I(S91;137),O(S89;135),,
137,3.68484165,0.76462886,I(S95;149),O(A97;130),O(A118;129),O(S91;136),,
138,1.82544633,0.61076047,I(S90;139),,O(A92;124),,,
139,2.32411833,0.61079064,I(A95;128),I(S92;140),O(S90;138),,,
140,3.69441589,0.61079064,I(S96;150),O(A96;129),O(S92;139),,,
141,0.8128,0.4572,I(A82;121),,O(S93;142),,O(A90;124),
142,3.92243073,0.4572,I(S93;141),,O(A107;143),,,
143,5.21988109,0.73160375,I(A109;132),I(A107;142),O(A104;132),,
144,0.81279997,0.3048,I(A81;120),,O(A89;125),,O(S94;145),
145,3.92243073,0.3048,I(S94;144),,O(A106;146),,,
146,5.31599702,0.60633455,I(A106;145),I(A108;131),O(A105;134),,,
148,0.87989243,1.52029666,I(A120;123),O(A122;118),O(A121;120),,,
149,3.92243073,0.76199974,I(A99;131),O(S95;137),,,,
150,3.92247364,0.61088737,I(A98;132),O(S96;140),,,,
151,2.8194,4.826,I(S23;30),O(A16;22),O(S19;32),O(A27;39),,
